Cage,Mouse #,Sex,Treatment,Date of Gavage,Date of Recorded Weight,ExpDay,Weight,Weight_percentage,Weight_percentage_gavage
1,1,Female,Baseline,12/6/23,10/31/23,-36,18.8,100,NA
1,1,Female,Baseline,12/6/23,11/6/23,-30,20,106,NA
1,1,Female,Baseline,12/6/23,11/8/23,-28,20.5,109,NA
1,1,Female,Baseline,12/6/23,11/10/23,-26,20.5,109,NA
1,2,Female,Baseline,12/6/23,10/31/23,-36,18,100,NA
1,2,Female,Baseline,12/6/23,11/6/23,-30,21,117,NA
1,2,Female,Baseline,12/6/23,11/8/23,-28,19.5,108,NA
1,2,Female,Baseline,12/6/23,11/10/23,-26,19.5,108,NA
1,3,Female,Baseline,12/6/23,10/31/23,-36,18,100,NA
1,3,Female,Baseline,12/6/23,11/6/23,-30,18,100,NA
1,3,Female,Baseline,12/6/23,11/8/23,-28,18.9,105,NA
1,3,Female,Baseline,12/6/23,11/10/23,-26,19.1,106,NA
3,1,Female,PBS,12/6/23,10/31/23,-36,18.2,100,NA
3,1,Female,PBS,12/6/23,11/6/23,-30,19,104,NA
3,1,Female,PBS,12/6/23,11/8/23,-28,19.5,107,NA
3,1,Female,PBS,12/6/23,11/10/23,-26,19,104,NA
3,1,Female,PBS,12/6/23,11/11/23,-25,18,99,NA
3,1,Female,PBS,12/6/23,11/12/23,-24,20,110,NA
3,1,Female,PBS,12/6/23,11/13/23,-23,19,104,NA
3,1,Female,PBS,12/6/23,11/14/23,-22,20,110,NA
3,1,Female,PBS,12/6/23,11/15/23,-21,19.6,108,NA
3,1,Female,PBS,12/6/23,11/17/23,-19,20.1,110,NA
3,1,Female,PBS,12/6/23,11/20/23,-16,19.7,108,NA
3,1,Female,PBS,12/6/23,11/21/23,-15,18,99,NA
3,1,Female,PBS,12/6/23,11/24/23,-12,20.4,112,NA
3,1,Female,PBS,12/6/23,11/25/23,-11,20.2,111,NA
3,1,Female,PBS,12/6/23,11/26/23,-10,20.6,113,NA
3,1,Female,PBS,12/6/23,11/27/23,-9,20.7,114,NA
3,1,Female,PBS,12/6/23,11/29/23,-7,21,115,NA
3,1,Female,PBS,12/6/23,12/4/23,-2,21.8,120,NA
3,1,Female,PBS,12/6/23,12/6/23,0,21.6,119,100.00
3,1,Female,PBS,12/6/23,12/7/23,1,21.4,118,99.07
3,1,Female,PBS,12/6/23,12/8/23,2,21.4,118,99.07
3,1,Female,PBS,12/6/23,12/9/23,3,21.6,119,100.00
3,1,Female,PBS,12/6/23,12/11/23,5,21.2,116,98.15
3,1,Female,PBS,12/6/23,12/13/23,7,22.4,123,103.70
3,1,Female,PBS,12/6/23,12/14/23,8,21.8,120,100.93
3,1,Female,PBS,12/6/23,12/16/23,10,21.4,118,99.07
3,1,Female,PBS,12/6/23,12/18/23,12,22,121,101.85
3,1,Female,PBS,12/6/23,12/19/23,13,20.2,111,93.52
3,2,Female,PBS,12/6/23,10/31/23,-36,18.5,100,NA
3,2,Female,PBS,12/6/23,11/6/23,-30,21,114,NA
3,2,Female,PBS,12/6/23,11/8/23,-28,19.9,108,NA
3,2,Female,PBS,12/6/23,11/10/23,-26,19.2,104,NA
3,2,Female,PBS,12/6/23,11/11/23,-25,20,108,NA
3,2,Female,PBS,12/6/23,11/12/23,-24,20,108,NA
3,2,Female,PBS,12/6/23,11/13/23,-23,19,103,NA
3,2,Female,PBS,12/6/23,11/14/23,-22,21,114,NA
3,2,Female,PBS,12/6/23,11/15/23,-21,19.8,107,NA
3,2,Female,PBS,12/6/23,11/17/23,-19,21.6,117,NA
3,2,Female,PBS,12/6/23,11/20/23,-16,21.5,116,NA
3,2,Female,PBS,12/6/23,11/21/23,-15,18.6,101,NA
3,2,Female,PBS,12/6/23,11/24/23,-12,21.3,115,NA
3,2,Female,PBS,12/6/23,11/25/23,-11,21.4,116,NA
3,2,Female,PBS,12/6/23,11/26/23,-10,21.4,116,NA
3,2,Female,PBS,12/6/23,11/27/23,-9,22.2,120,NA
3,2,Female,PBS,12/6/23,11/29/23,-7,22.4,121,NA
3,2,Female,PBS,12/6/23,12/4/23,-2,23,124,NA
3,2,Female,PBS,12/6/23,12/6/23,0,23.2,125,100.00
3,2,Female,PBS,12/6/23,12/7/23,1,23.2,125,100.00
3,2,Female,PBS,12/6/23,12/8/23,2,23,124,99.14
3,2,Female,PBS,12/6/23,12/9/23,3,23.1,125,99.57
3,2,Female,PBS,12/6/23,12/11/23,5,22.5,122,96.98
3,2,Female,PBS,12/6/23,12/13/23,7,23.2,125,100.00
3,2,Female,PBS,12/6/23,12/14/23,8,22.5,122,96.98
3,2,Female,PBS,12/6/23,12/16/23,10,22.9,124,98.71
3,2,Female,PBS,12/6/23,12/18/23,12,23,124,99.14
3,2,Female,PBS,12/6/23,12/19/23,13,22.4,121,96.55
3,3,Female,PBS,12/6/23,10/31/23,-36,17.9,100,NA
3,3,Female,PBS,12/6/23,11/6/23,-30,20,112,NA
3,3,Female,PBS,12/6/23,11/8/23,-28,19,106,NA
3,3,Female,PBS,12/6/23,11/10/23,-26,18.9,106,NA
3,3,Female,PBS,12/6/23,11/11/23,-25,18,101,NA
3,3,Female,PBS,12/6/23,11/12/23,-24,18,101,NA
3,3,Female,PBS,12/6/23,11/13/23,-23,18,101,NA
3,3,Female,PBS,12/6/23,11/14/23,-22,19,106,NA
3,3,Female,PBS,12/6/23,11/15/23,-21,20.7,116,NA
3,3,Female,PBS,12/6/23,11/17/23,-19,20.3,113,NA
3,3,Female,PBS,12/6/23,11/20/23,-16,20.2,113,NA
3,3,Female,PBS,12/6/23,11/21/23,-15,18.2,102,NA
3,3,Female,PBS,12/6/23,11/24/23,-12,20.7,116,NA
3,3,Female,PBS,12/6/23,11/25/23,-11,21.2,118,NA
3,3,Female,PBS,12/6/23,11/26/23,-10,21.2,118,NA
3,3,Female,PBS,12/6/23,11/27/23,-9,21.4,120,NA
3,3,Female,PBS,12/6/23,11/29/23,-7,21.8,122,NA
3,3,Female,PBS,12/6/23,12/4/23,-2,22.3,125,NA
3,3,Female,PBS,12/6/23,12/6/23,0,21.8,122,100.00
3,3,Female,PBS,12/6/23,12/7/23,1,21.8,122,100.00
3,3,Female,PBS,12/6/23,12/8/23,2,21.6,121,99.08
3,3,Female,PBS,12/6/23,12/9/23,3,21.8,122,100.00
3,3,Female,PBS,12/6/23,12/11/23,5,21.7,121,99.54
3,3,Female,PBS,12/6/23,12/13/23,7,22.6,126,103.67
3,3,Female,PBS,12/6/23,12/14/23,8,22.6,126,103.67
3,3,Female,PBS,12/6/23,12/16/23,10,22.4,125,102.75
3,3,Female,PBS,12/6/23,12/18/23,12,23.3,130,106.88
3,3,Female,PBS,12/6/23,12/19/23,13,20.4,114,93.58
4,1,Female,PBS,12/6/23,10/31/23,-36,17.4,100,NA
4,1,Female,PBS,12/6/23,11/6/23,-30,18,103,NA
4,1,Female,PBS,12/6/23,11/8/23,-28,18.2,105,NA
4,1,Female,PBS,12/6/23,11/10/23,-26,18.1,104,NA
4,1,Female,PBS,12/6/23,11/11/23,-25,17,98,NA
4,1,Female,PBS,12/6/23,11/12/23,-24,18,103,NA
4,1,Female,PBS,12/6/23,11/13/23,-23,20,115,NA
4,1,Female,PBS,12/6/23,11/14/23,-22,20,115,NA
4,1,Female,PBS,12/6/23,11/15/23,-21,19.8,114,NA
4,1,Female,PBS,12/6/23,11/17/23,-19,19.8,114,NA
4,1,Female,PBS,12/6/23,11/20/23,-16,19,109,NA
4,1,Female,PBS,12/6/23,11/21/23,-15,19,109,NA
4,1,Female,PBS,12/6/23,11/24/23,-12,19.2,110,NA
4,1,Female,PBS,12/6/23,11/25/23,-11,19.7,113,NA
4,1,Female,PBS,12/6/23,11/26/23,-10,19.2,110,NA
4,1,Female,PBS,12/6/23,11/27/23,-9,20.4,117,NA
4,1,Female,PBS,12/6/23,11/29/23,-7,20,115,NA
4,1,Female,PBS,12/6/23,12/4/23,-2,20.6,118,NA
4,1,Female,PBS,12/6/23,12/6/23,0,20.3,117,100.00
4,1,Female,PBS,12/6/23,12/7/23,1,20.2,116,99.51
4,1,Female,PBS,12/6/23,12/8/23,2,20.4,117,100.49
4,1,Female,PBS,12/6/23,12/9/23,3,20.3,117,100.00
4,1,Female,PBS,12/6/23,12/11/23,5,20.2,116,99.51
